Id,State,Total,NowMarried,Widowed,Divorced,Separated,NeverMarried
1,Alabama,3911415,48.2,7.1,12.5,2.5,29.8
2,Alaska,575912,48.3,3.7,11.8,1.8,34.3
4,Arizona,5295964,47.3,5.6,12.5,1.9,32.8
5,Arkansas,2368643,50.6,6.9,13.1,2.3,27.2
6,California,30831622,46.5,5.1,9.6,2.3,36.5
8,Colorado,4238196,50.9,4.4,12,1.6,31.1
9,Connecticut,2955719,48.1,5.9,10.7,1.4,34
10,Delaware,756717,47.2,6.2,11.5,1.8,33.3
11,District of Columbia,551820,27.3,4.6,9.3,2.3,56.5
12,Florida,16313235,46.2,7.1,13,2.5,31.2
13,Georgia,7930933,47,5.6,11.4,2.5,33.6
15,Hawaii,1146822,49.9,6.2,9.4,1.3,33.2
16,Idaho,1256961,55,5.1,12.2,1.3,26.4
17,Illinois,10376442,47.9,5.9,9.8,1.7,34.7
18,Indiana,5254367,49.5,6,12.6,1.5,30.3
19,Iowa,2488960,52.9,6.3,10.8,1.3,28.8
20,Kansas,2288297,52.4,5.9,11.5,1.4,28.8
21,Kentucky,3552123,50.1,6.6,13.2,2.2,27.9
22,Louisiana,3694241,43.9,6.7,12,2.7,34.7
23,Maine,1115377,50.7,6.3,14,1.1,27.8
24,Maryland,4813834,46.9,5.7,9.9,2.4,35
25,Massachusetts,5560602,46.6,5.8,9.6,1.9,36.2
26,Michigan,8060912,48.1,6.2,11.6,1.4,32.7
27,Minnesota,4352667,52.2,5.2,10,1.1,31.5
28,Mississippi,2375422,44.7,7.1,11.8,3.1,33.4
29,Missouri,4884096,49.6,6.4,12.2,1.9,30
30,Montana,827928,51.7,6.1,12.6,1.3,28.3
31,Nebraska,1479203,53,5.8,10.5,1.3,29.4
32,Nevada,2247667,45.9,5.2,14.1,2.4,32.4
33,New Hampshire,1104308,52.2,5.5,12,1.2,29.1
34,New Jersey,7239610,49.2,6.2,8.5,2,34.1
35,New Mexico,1661732,45.6,6,12.9,1.8,33.7
36,New York,16166773,44.5,6,8.7,2.6,38.1
37,North Carolina,7941877,49,6.2,10.8,3,31
38,North Dakota,584052,52.2,5.8,9.4,0.9,31.7
39,Ohio,9388079,48.2,6.5,12.1,1.8,31.5
40,Oklahoma,3055112,50.4,6.5,13.3,2.1,27.7
41,Oregon,3226266,49.5,5.4,13.1,1.8,30.1
42,Pennsylvania,10544749,48,7,9.5,2.2,33.3
44,Rhode Island,877984,44.7,6.4,11.2,1.9,35.8
45,South Carolina,3876614,47.4,6.8,10.7,3.3,31.7
46,South Dakota,668967,52,6.1,10.7,1.2,30.1
47,Tennessee,5260541,49.4,6.5,12.7,2.3,29.1
48,Texas,20628324,49.4,5.2,10.9,2.6,31.9
49,Utah,2143491,56.1,3.7,9.3,1.6,29.4
50,Vermont,526807,49.9,5.5,12.2,1.2,31.1
51,Virginia,6705285,50.1,5.6,10.1,2.5,31.7
53,Washington,5656048,50.7,4.9,12.1,1.6,30.6
54,West Virginia,1535506,50.1,7.9,13.1,1.6,27.3
55,Wisconsin,4659184,50.9,5.7,10.7,1.1,31.5
56,Wyoming,463829,53.3,5.4,12.7,1.5,27
72,Puerto Rico,2933242,37.8,7.1,13.7,2.9,38.5
